,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
A00,Colera,A000,"Colera debido a Vibrio cholerae 01, biotipo cholerae"
A00,Colera,A001,"Colera debido a Vibrio cholerae 01, biotipo el Tor"
A00,Colera,A009,"Colera, no especificado"
A01,Fiebres Tifoidea Y Paratifoidea,A010,Fiebre tifoidea
A01,Fiebres Tifoidea Y Paratifoidea,A011,Fiebre paratifoidea A
A01,Fiebres Tifoidea Y Paratifoidea,A012,Fiebre paratifoidea B
A01,Fiebres Tifoidea Y Paratifoidea,A013,Fiebre paratifoidea C
A01,Fiebres Tifoidea Y Paratifoidea,A014,"Fiebre paratifoidea, no especificada"
A02,Otras Infecciones Debidas Salmonella,A020,Enteritis debida a Salmonella
A02,Otras Infecciones Debidas Salmonella,A021,Sepsis debida a Salmonella
A02,Otras Infecciones Debidas Salmonella,A022,Infecciones localizadas debidas a Salmonella
A02,Otras Infecciones Debidas Salmonella,A028,Otras infecciones especificadas como debidas a Salmonella
A02,Otras Infecciones Debidas Salmonella,A029,"Infeccion debida a Salmonella, no especificada"
A03,Shigelosis,A030,Shigelosis debida a Shigella dysenteriae
A03,Shigelosis,A031,Shigelosis debida a Shigella flexneri
A03,Shigelosis,A032,Shigelosis debida a Shigella boydii
A03,Shigelosis,A033,Shigelosis debida a Shigella sonnei
A03,Shigelosis,A038,Otras shigelosis
A03,Shigelosis,A039,Shigelosis de tipo no especificado
A04,Otras Infecciones Intestinales Bacterianas,A040,Infeccion debida a Escherichia coli enteropatogena
A04,Otras Infecciones Intestinales Bacterianas,A041,Infeccion debida a Escherichia coli enterotoxigena
A04,Otras Infecciones Intestinales Bacterianas,A042,Infeccion debida a Escherichia coli enteroinvasiva
A04,Otras Infecciones Intestinales Bacterianas,A043,Infeccion debida a Escherichia coli enterohemorragica
A04,Otras Infecciones Intestinales Bacterianas,A044,Otras infecciones intestinales debidas a Escherichia coli
A04,Otras Infecciones Intestinales Bacterianas,A045,Enteritis debida a Campylobacter
A04,Otras Infecciones Intestinales Bacterianas,A046,Enteritis debida a Yersinia enterocolitica
A04,Otras Infecciones Intestinales Bacterianas,A047,Enterocolitis debida a Clostridium difficile
A04,Otras Infecciones Intestinales Bacterianas,A048,Otras infecciones intestinales bacterianas especificadas
A04,Otras Infecciones Intestinales Bacterianas,A049,"Infeccion intestinal bacteriana, no especificada"
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A050,Intoxicacion alimentaria estafilococica
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A051,Botulismo
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A052,Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii]
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A053,Intoxicacion alimentaria debida a Vibrio parahaemolyticus
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A054,Intoxicacion alimentaria debida a Bacillus cereus
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas
A05,Otras Intoxicaciones Alimentarias Bacterianas No Clasificadas En Otra Parte,A059,"Intoxicacion alimentaria bacteriana, no especificada"
A06,Amebiasis,A060,Disenteria amebiana aguda
A06,Amebiasis,A061,Amebiasis intestinal cronica
A06,Amebiasis,A062,Colitis amebiana no disenterica
A06,Amebiasis,A063,Ameboma intestinal
A06,Amebiasis,A064,Absceso amebiano del higado
A06,Amebiasis,A065,Absceso amebiano del pulmon
A06,Amebiasis,A066,Absceso amebiano del cerebro
A06,Amebiasis,A067,Amebiasis cutanea
A06,Amebiasis,A068,Infeccion amebiana de otras localizaciones
A06,Amebiasis,A069,"Amebiasis, no especificada"
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A070,Balantidiasis
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A071,Giardiasis [lambliasis]
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A072,Criptosporidiosis
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A073,Isosporiasis
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A078,Otras enfermedades intestinales especificadas debidas a protozoarios
A07,Otras Enfermedades Intestinales Debidas A Protozoarios,A079,"Enfermedad intestinal debida a protozoarios, no especificada"
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A080,Enteritis debida a rotavirus
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A081,Gastroenteropatia aguda debida al agente de Norwalk
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A082,Enteritis debida a adenovirus
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A083,Otras enteritis virales
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A084,"Infeccion intestinal viral, sin otra especificacion"
A08,Infecciones Intestinales Debidas A Virus Y Otros Organismos Especificados,A085,Otras infecciones intestinales especificadas
A09,Otras gastroenteritis y colitis de origen infeccioso y no especificado,A090,Otras gastroenteritis y colitis de origen infeccioso
A09,Otras gastroenteritis y colitis de origen infeccioso y no especificado,A099,Gastroenteritis y colitis de origen no especificado
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A150,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A151,"Tuberculosis del pulmon, confirmada unicamente por cultivo"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A152,"Tuberculosis del pulmon, confirmada histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A153,"Tuberculosis del pulmon, confirmada por medios no especificados"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A154,"Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A156,"Pleuresia tuberculosa, confirmada bacteriologica e histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A157,"Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A158,"Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente"
A15,"Tuberculosis Respiratoria, Confirmada Bacteriologica E Histologicamente",A159,"Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A160,"Tuberculosis del pulmon, con examen bacteriologico e histologico negativos"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A161,"Tuberculosis de pulmon, sin examen bacteriologico e histologico"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A162,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A163,"Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A164,"Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A165,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A167,"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A168,"Otras tuberculosis respiratorias, sin mencion de confirmacion"
A16,"Tuberculosis Respiratoria, No Confirmada Bacteriologica E Histologicamente",A169,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica"
A17,Tuberculosis Del Sistema Nervioso,A170,Meningitis tuberculosa
A17,Tuberculosis Del Sistema Nervioso,A171,Tuberculoma meningeo
A17,Tuberculosis Del Sistema Nervioso,A178,Otras tuberculosis del sistema nervioso
A17,Tuberculosis Del Sistema Nervioso,A179,"Tuberculosis del sistema nervioso, no especificada"
A18,Tuberculosis De Otros Organos,A180,Tuberculosis de huesos y articulaciones
A18,Tuberculosis De Otros Organos,A181,Tuberculosis del aparato genitourinario
A18,Tuberculosis De Otros Organos,A182,Linfadenopatia periferica tuberculosa
A18,Tuberculosis De Otros Organos,A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos"
A18,Tuberculosis De Otros Organos,A184,Tuberculosis de la piel y el tejido subcutaneo
A18,Tuberculosis De Otros Organos,A185,Tuberculosis del ojo
A18,Tuberculosis De Otros Organos,A186,Tuberculosis del oido
A18,Tuberculosis De Otros Organos,A187,Tuberculosis de glandulas suprarrenales
A18,Tuberculosis De Otros Organos,A188,Tuberculosis de otros organos especificados
A19,Tuberculosis Miliar,A190,Tuberculosis miliar aguda de un solo sitio especificado
A19,Tuberculosis Miliar,A191,Tuberculosis miliar aguda de sitios multiples
A19,Tuberculosis Miliar,A192,"Tuberculosis miliar aguda, no especificada"
A19,Tuberculosis Miliar,A198,Otras tuberculosis miliares
A19,Tuberculosis Miliar,A199,"Tuberculosis miliar, sin otra especificacion"
A20,Peste,A200,Peste bubonica
A20,Peste,A201,Peste celulocutanea
A20,Peste,A202,Peste neumonica
A20,Peste,A203,Meningitis por peste
A20,Peste,A207,Peste septicemica
A20,Peste,A208,Otras formas de peste
A20,Peste,A209,"Peste, no especificada"
A21,Tularemia,A210,Tularemia ulceroglandular
A21,Tularemia,A211,Tularemia oculoglandular
A21,Tularemia,A212,Tularemia pulmonar
A21,Tularemia,A213,Tularemia gastrointestinal
A21,Tularemia,A217,Tularemia generalizada
A21,Tularemia,A218,Otras formas de tularemia
A21,Tularemia,A219,"Tularemia, no especificada"
A22,Carbunco [ Antrax ],A220,Carbunco cutaneo
A22,Carbunco [ Antrax ],A221,Carbunco pulmonar
A22,Carbunco [ Antrax ],A222,Carbunco gastrointestinal
A22,Carbunco [ Antrax ],A227,Carbunco septico
A22,Carbunco [ Antrax ],A228,Otras formas de carbunco
A22,Carbunco [ Antrax ],A229,"Carbunco, no especificado"
A23,Brucelosis,A230,Brucelosis debida a Brucella melitensis
A23,Brucelosis,A231,Brucelosis debida a Brucella abortus
A23,Brucelosis,A232,Brucelosis debida a Brucella suis
A23,Brucelosis,A233,Brucelosis debida a Brucella canis
A23,Brucelosis,A238,Otras brucelosis
A23,Brucelosis,A239,"Brucelosis, no especificada"
A24,Muermo Y Melioidosis,A240,Muermo
A24,Muermo Y Melioidosis,A241,Melioidosis aguda y fulminante
A24,Muermo Y Melioidosis,A242,Melioidosis subaguda y cronica
A24,Muermo Y Melioidosis,A243,Otras melioidosis
A24,Muermo Y Melioidosis,A244,"Melioidosis, no especificada"
A25,Fiebres Por Mordedura De Rata,A250,Espirilosis
A25,Fiebres Por Mordedura De Rata,A251,Estreptobacilosis
A25,Fiebres Por Mordedura De Rata,A259,"Fiebre por mordedura de rata, no especificada"
A26,Erisipeloide,A260,Erisipeloide cutaneo
A26,Erisipeloide,A267,Sepsis por Erysipelothrix
A26,Erisipeloide,A268,Otras formas de erisipeloide
A26,Erisipeloide,A269,"Erisipeloide, no especificada"
A27,Leptospirosis,A270,Leptospirosis icterohemorragica
A27,Leptospirosis,A278,Otras formas de leptospirosis
A27,Leptospirosis,A279,"Leptospirosis, no especificada"
A28,Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte,A280,Pasteurelosis
A28,Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte,A281,Enfermedad por rasguno de gato
A28,Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte,A282,Yersiniosis extraintestinal
A28,Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte,A288,"Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte"
A28,Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte,A289,"Enfermedad zoonotica bacteriana, sin otra especificacion"
A30,Lepra [ Enfermedad De Hansen ],A300,Lepra indeterminada
